,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
91,28415,25.0,7.4,2.449,-24.66584,0.6844619,-131.45688
92,5974,24.8,6.5,2.313,-22.935581,-0.5855807,-92.00263
93,18141,25.7,8.4,1.923,-25.356928,-1.8047631,-87.716515
94,29524,26.2,7.7,2.001,-28.30747,0.49575108,-78.9422
95,31334,28.1,9.9,1.413,-26.38971,0.5007721,-42.453304
96,7874,23.9,7.1,2.593,-26.871557,-1.1829548,-485.60416
97,14149,25.2,7.4,2.174,-24.272545,3.4517906,-466.20975
98,0,23.0,8.0,2.565,-23.409395,0.23500466,-872.20624
99,179,23.7,9.1,2.76,-22.894049,0.6952609,-311.31656
100,3794,25.2,11.2,2.772,-23.913256,0.43268633,-140.079
101,3524,25.0,10.1,2.717,-21.08279,0.43268633,-100.670784
102,10454,23.8,10.4,2.688,-20.476004,1.0908419,-38.58038
103,4104,22.8,8.2,2.595,-19.078888,0.43268633,-228.57288
104,1019,21.2,10.0,2.377,-16.30337,0.43268633,-130.20139
105,3084,19.7,9.2,2.333,-13.387086,0.43268633,-118.09139
106,2149,18.4,11.5,2.427,-13.658219,-7.4745803,-60.99232
107,334,17.4,10.8,2.866,-12.084104,0.84260726,-129.72176
108,414,15.8,10.9,2.837,-8.507723,0.4642187,-248.2506
109,0,14.4,11.1,2.597,-6.061727,0.43268633,-124.64231
110,0,12.0,14.4,2.682,-4.926225,0.43268633,-106.95174
111,0,10.8,14.4,2.827,-8.8614645,0.43268633,-162.08763
112,0,10.1,11.9,2.894,-0.65702033,0.43268633,-191.52704
113,0,6.3,11.6,2.579,0.94541675,0.28339282,-168.8931
114,0,5.7,12.2,2.839,3.5468595,-0.4330277,-130.17929
115,0,3.7,13.6,3.444,1.1644279,0.43268633,-125.70678
116,0,3.1,13.6,3.102,3.0963843,0.44529927,-117.85933
117,0,3.0,13.4,3.432,1.6698478,0.43268633,-125.81301
118,0,2.6,14.5,3.488,0.80497855,0.49575108,-93.56567
119,0,3.0,15.3,3.475,-1.2590295,0.65341294,-98.90271
120,0,4.1,13.5,3.751,-1.5726068,0.30861992,-90.774445
121,0,4.0,13.8,4.435,-0.30526802,0.43268633,-86.70106
122,0,3.8,14.3,3.708,2.1520588,0.43268633,-77.13467
123,0,4.4,14.5,3.954,-3.4661107,0.59034824,-109.951195
