,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
393,7172,25.1,9.9,1.854,-25.938728,2.192193,-47.45169
394,3125,25.3,7.6,2.097,-22.51624,1.7570462,-220.65614
395,16168,25.6,10.0,1.736,-24.576612,1.4858677,-134.95819
396,39444,26.5,9.5,1.972,-23.018003,-0.63285005,-359.3386
397,47792,25.2,7.7,1.824,-25.17793,2.4843538,-269.24905
398,1443,20.5,7.8,2.359,-19.99256,-1.8112069,-759.7352
399,3266,22.3,8.5,1.906,-23.424856,2.0191302,-320.26404
400,1010,25.9,9.4,1.857,-30.300135,0.43268633,-245.69377
401,2252,26.6,9.2,1.848,-29.40951,0.9498173,-414.6219
402,2789,27.6,7.2,1.987,-26.398354,3.2230814,-512.46216
403,5037,22.6,8.4,2.268,-21.28297,0.76692957,-351.38943
404,1247,22.4,8.8,2.103,-18.428856,0.43268633,-208.32338
405,4642,21.6,10.4,2.055,-18.309326,0.43268633,-139.08772
406,2604,21.7,10.7,2.09,-16.574636,0.43268633,-92.24945
407,5987,20.3,9.8,2.008,-14.136093,0.43268633,-82.02684
408,3916,18.4,11.9,2.455,-13.681385,1.0885597,-67.21984
409,1311,16.2,12.9,2.273,-11.961024,0.43268633,-74.02025
410,1032,15.6,12.9,2.599,-6.295684,0.43268633,-63.094032
411,851,12.8,11.5,2.64,-7.3778896,0.43268633,-54.760544
412,720,12.4,10.6,2.94,-12.417224,3.8218973,-64.10887
413,255,13.2,10.2,3.039,-6.1565275,0.43268633,-78.267525
414,154,10.9,10.0,3.158,-2.7797084,0.43268633,-54.547142
415,2005,8.0,11.3,3.032,-1.8839502,0.43268633,-77.80189
416,1397,7.0,11.3,3.095,3.9214656,0.43268633,-77.30271
417,5679,4.6,12.9,3.321,1.0682703,0.43268633,-55.662773
418,3799,3.9,14.1,3.316,4.1288257,0.43268633,-47.787117
419,136,3.2,14.0,3.787,7.5052986,0.43268633,-14.853119
420,54,3.6,14.8,3.809,-0.7174304,0.43268633,-39.252155
421,71,4.3,14.3,3.948,0.6219491,0.43268633,-39.351917
422,38,5.0,14.6,3.759,-1.1350279,0.43268633,-31.840485
423,134,6.3,15.3,4.059,2.8493948,0.43268633,-53.192368
424,0,6.3,14.2,3.344,-5.0220175,0.5398964,-48.51865
425,121,7.5,13.6,3.739,-4.447938,-0.1047703,-102.980194
426,110,9.1,12.7,3.819,-7.253384,1.5489326,-85.8039
427,172,10.6,14.0,3.155,-11.508282,0.6912518,-72.383896
428,287,11.9,12.8,3.181,-8.651534,3.0183413,-63.766407
429,383,13.4,11.7,3.253,-13.828313,2.2111125,-118.86028
430,371,14.3,10.5,3.205,-11.298402,0.43268633,-198.52931
431,1756,15.5,12.9,2.981,-11.550707,0.43268633,-138.41176
432,1164,15.3,11.2,2.744,-13.80845,0.4389928,-83.74191
433,63,17.9,10.8,2.562,-14.435967,0.88675255,-52.48061
434,0,17.8,9.2,2.28,-14.526411,0.037322998,-71.75659
435,18,19.1,10.8,2.147,-17.146082,0.71647775,-68.48876
436,811,19.8,8.0,3.026,-19.452976,-0.9997608,-315.3045
437,523,21.3,9.8,2.579,-18.105988,1.5552388,-183.98618
438,1653,21.5,9.4,2.208,-21.985937,0.49333385,-179.67346
439,282,23.8,8.8,2.11,-24.685776,1.8782445,-175.509
440,2224,24.5,8.7,2.236,-22.33474,-1.4628271,-214.05687
441,2025,25.1,11.0,1.976,-22.674145,0.9076179,-238.39719
442,24938,25.9,11.1,1.625,-25.85072,2.4822907,-187.83214
443,30472,25.8,7.5,1.564,-24.430046,-30.762192,-432.34747
444,247,25.1,7.9,2.699,-28.34717,0.7984619,-438.16074
445,1029,26.9,9.3,2.293,-28.934635,0.43268633,-233.72823
446,16748,29.1,10.7,1.902,-29.20229,0.44529927,-98.50883
447,43365,30.6,10.3,1.454,-29.543692,0.5398964,-205.79352
448,2316,28.6,6.5,1.645,-27.491657,0.41579798,-298.53918
449,40232,27.2,8.9,1.836,-25.561766,4.9661965,-139.41681
450,12442,26.1,7.8,1.873,-25.738142,-5.989219,-1274.8779
451,753,24.4,8.3,2.016,-24.336025,-1.3892127,-795.7748
452,1908,22.6,9.3,2.51,-23.819757,0.43268633,-472.38342
453,1586,23.9,9.4,2.25,-23.605452,1.0275581,-204.66602
454,1323,23.3,9.2,2.405,-22.372717,0.5146705,-262.76266
455,4627,22.8,10.3,2.239,-23.038042,1.6372231,-149.34972
456,3816,24.0,11.1,2.077,-23.298906,0.6408,-128.3115
457,1658,23.4,9.5,2.129,-19.571257,0.7388357,-156.41388
458,1932,18.8,9.8,2.407,-10.119418,0.43268633,-154.21158
459,2105,16.9,13.3,2.312,-12.070394,0.43268633,-97.61572
460,795,16.3,14.0,2.059,-11.395913,0.43268633,-93.1413
461,697,15.4,12.2,2.3,-7.6655374,0.43268633,-120.73599
462,897,12.6,10.5,2.393,-8.60567,0.43268633,-71.60491
463,930,10.1,13.0,2.44,-3.0330427,0.43268633,-122.83691
464,1132,8.2,11.0,2.44,-5.574074,0.43268633,-87.62681
465,501,7.5,12.7,2.611,-1.4631728,0.6218806,-108.488556
466,81,5.9,13.1,3.037,-1.825489,0.43268633,-32.497643
