,corr,rmse,cosine_sim,pearson_corr,spearman_corr
³«µ¿°­_±¸¹Ìº¸,0.9134507188802019,2246.4476071487948,0.9193680427010221,0.9134507188802015,0.7786078893366501
³«µ¿°­_³«´Üº¸,0.8765875060991034,2313.4637140607433,0.8842552127919396,0.876587506099103,0.685585970900922
³«µ¿°­_¹°±Ý¸Þ¸®,0.9631574939201003,2329.773073292894,0.9680609578355697,0.9631574939201003,0.8507730832772517
³«µ¿°­_»óÁÖº¸,0.612612371918795,1104.0120655382975,0.6830354080042818,0.612612371918795,0.5452426218745776
³«µ¿°­_Ã¢³çÇÔ¾Èº¸,0.9557513628022754,2953.93166864985,0.9604597693415872,0.9557513628022751,0.6780454449821165
³«µ¿°­_Ä¥°îº¸,0.9189121948718152,2471.9611205483416,0.9258191989078454,0.9189121948718151,0.5926625540358694
³«µ¿°­_ÇÕÃµÃ¢³çº¸,0.942125196570625,7575.6918276769975,0.9462212811554864,0.9421251965706252,0.598322659444116
³«µ¿°­_ÇØÆò,0.899058320529283,973.3075695969085,0.9077169276398275,0.8990583205292837,0.710542640843678
