,prediction,prediction_inv,유해남조류세포수_Y,유해남조류세포수_Y_inv
2019-01-14,2.4329991,11.393000026747824,2.3848231912310176,10.857142857142856
2019-01-21,4.813068,123.10872562061473,4.814504542028114,123.28571428571425
2019-01-28,5.2169805,184.3766096398313,5.903452669784769,366.3
2019-02-07,4.040375,56.84766990837697,3.248434627109745,25.749999999999996
2019-02-11,4.207705,67.20213520475053,4.580584710515477,97.57142857142856
2019-02-18,4.106903,60.75826219432793,4.225790448355602,68.42857142857146
2019-02-25,4.36351,78.53230995066488,4.504560273088863,90.42857142857146
2019-03-04,4.547036,94.35234926356979,4.624972813284271,101.99999999999996
2019-03-11,4.7188983,112.04474454229484,4.742444564891448,114.7142857142857
2019-03-18,3.8049793,44.92432126345585,4.351199170878622,77.57142857142854
2019-03-25,1.1952541,3.3043972697138853,3.6525118099430616,38.57142857142858
2019-04-01,0.18319362,1.20104693710422,-0.15415067982725836,0.8571428571428571
2019-04-08,1.8366101,6.275229630257577,1.6376087894007967,5.142857142857142
2019-04-15,4.2472286,69.91139275478506,0.0,1.0
2019-04-22,2.3263679,10.240678273579789,2.181224235989778,8.857142857142858
2019-04-29,5.075612,160.070135838287,3.993602992420569,54.25
2019-05-07,5.6754465,291.61852015671883,4.402645921876617,81.66666666666667
2019-05-13,6.126771,457.955021612573,6.131847414681606,460.2857142857141
2019-05-20,5.505293,245.99049388850398,5.545665606559064,256.125
2019-05-28,6.7667627,868.4957858556888,6.335940383589716,564.4999999999998
2019-06-03,8.151878,3469.890641177916,8.031431772051295,3076.142857142859
2019-06-10,8.882658,7205.918669599153,9.033159863034234,8376.28571428572
2019-06-17,10.0819645,23907.906349049845,10.588170440398207,39662.85714285714
2019-06-24,11.16332,70496.58780553238,10.799753403846246,49008.714285714246
2019-07-01,10.607115,40421.406677360144,10.673397341847386,43191.42857142857
2019-07-08,11.291007,80098.07032410774,11.326110398896928,82959.71428571433
2019-07-15,10.940092,56392.535914798806,12.176479042683095,194167.9999999999
2019-07-22,9.670415,15841.92086302899,9.73560975208887,16909.142857142866
2019-07-29,9.878379,19504.078335671344,10.17068626604651,26126.000000000015
2019-08-05,9.692678,16198.573333969223,11.579244097198071,106856.71428571429
2019-08-12,11.14964,69538.79542124702,11.345003731281214,84542.00000000004
2019-08-19,11.660234,115871.19338636527,12.050888098112617,171251.42857142846
2019-08-26,10.307672,29961.591197027497,10.258010181906718,28510.000000000004
2019-09-02,10.238878,27969.73327728378,9.993700347134478,21888.14285714285
2019-09-09,9.597376,14726.087646796232,9.688595577419683,16132.571428571424
2019-09-16,10.861494,52129.90546592263,10.987846662196528,59150.875000000044
2019-09-24,8.915572,7447.041857710519,6.842861139064147,937.1666666666669
2019-09-30,9.635001,15290.716867553794,7.331714969726466,1528.0000000000005
2019-10-07,7.5332875,1869.2405889050654,6.162412141117927,474.57142857142856
2019-10-14,6.922579,1014.9339461215753,7.328624934962866,1523.2857142857138
2019-10-21,5.3590646,212.5260521090167,5.846851571761213,346.1428571428572
2019-10-28,5.319906,204.3647187838163,5.385150156163319,218.14285714285714
2019-11-04,5.193507,180.09908911722104,6.438437129027495,625.4285714285713
2019-11-11,5.6542797,285.5107577759354,6.374050872831216,586.4285714285717
2019-11-18,4.997254,148.00616004237818,6.398119423351735,600.7142857142859
2019-11-25,6.848213,942.1958821567251,6.280930741353265,534.2857142857144
2019-12-02,5.8092494,333.36880548010987,6.898858678474381,991.1428571428567
2019-12-09,6.575641,717.4054451904997,6.672032945461067,790.0000000000002
2019-12-16,5.4470744,232.07820683765394,5.501258210544727,245.0000000000001
2019-12-23,4.9446445,140.42091547851186,5.000584958242754,148.5
2020-01-06,4.9564905,142.09424244625535,5.33133757757617,206.7142857142857
2020-01-13,4.809127,122.62450166004442,4.868632748204645,130.1428571428571
2020-01-20,3.61179,37.03227915044377,5.269789282933498,194.37499999999994
2020-01-28,4.054479,57.65512389719881,6.236695694886197,511.16666666666674
2020-02-03,3.6748512,39.44278651031352,6.433628877062129,622.4285714285717
2020-02-10,2.566255,13.01698564403408,7.20063808983309,1340.2857142857142
2020-02-17,1.4418178,4.228375008348888,7.2606982678311915,1423.2500000000005
2020-02-25,3.3047512,27.24176184427069,6.678970847777841,795.4999999999998
2020-03-02,3.2058423,24.67627502045393,5.12905304891073,168.8571428571429
2020-03-09,2.911033,18.375769377659196,6.764379672322837,866.4285714285716
2020-03-16,4.314178,74.75215116319944,7.105199997350312,1218.2857142857142
2020-03-23,3.113887,22.50836620900487,7.006824618051557,1104.1428571428569
2020-03-30,4.301102,73.78106754817236,7.053709191605217,1157.1428571428569
2020-04-06,3.6723962,39.34607338664759,6.376483964055857,587.8571428571428
2020-04-13,5.01032,149.9527413239824,3.6959969218828004,40.28571428571429
2020-04-20,4.897605,133.96853277299985,0.0,1.0
2020-04-27,3.8885236,48.838726728556786,3.543027577101373,34.57142857142856
2020-05-04,2.4508348,11.598024143290637,5.717967109648158,304.2857142857144
2020-05-11,6.935494,1028.1269659020052,6.4967749901858625,663.0
2020-05-18,3.5171878,33.68955449876831,6.238045568249641,511.85714285714295
2020-05-25,5.885101,359.63903271558684,5.767427739816557,319.7142857142856
2020-06-01,8.949023,7700.366828447471,7.694978111396497,2197.2857142857147
2020-06-08,6.454337,635.4523579865289,8.794045403484983,6594.857142857148
2020-06-15,7.3908467,1621.0781463106277,8.51504803506985,4989.285714285715
2020-06-22,10.130478,25096.35524650609,9.87786933313248,19494.14285714287
2020-06-29,9.323746,11200.858739785297,10.612448322311543,40637.571428571435
