,prediction,prediction_inv,유해남조류세포수_Y,유해남조류세포수_Y_inv
2019-01-14,1.640933,5.159981719755736,1.6094379124341003,4.999999999999999
2019-01-21,3.9796665,53.49918774666189,3.894731508318085,49.142857142857146
2019-01-28,3.8294086,46.03530700337822,4.792479284293085,120.60000000000002
2019-02-07,1.4920864,4.446362786083668,1.4469189829363254,4.25
2019-02-11,1.6035929,4.970860045985938,2.6790626642289577,14.57142857142857
2019-02-18,2.0628648,7.868479017628131,2.097141118779237,8.142857142857142
2019-02-25,3.6516898,38.539734261885414,3.9863350383926974,53.857142857142854
2019-03-04,3.0471334,21.05490281299418,3.6375861597263857,37.99999999999999
2019-03-11,3.9572976,52.31575473929293,4.02535169073515,56.00000000000002
2019-03-18,4.040217,56.838671069683855,4.05302641289137,57.57142857142859
2019-03-25,4.390152,80.65267544423264,4.099095164980699,60.28571428571429
2019-04-01,3.8167377,45.45567393224103,2.9740707767728116,19.571428571428573
2019-04-08,3.0419405,20.945848211535843,2.9444389791664403,18.999999999999996
2019-04-15,3.862212,47.570458207318396,3.934622837345387,51.14285714285714
2019-04-22,2.883592,17.878375149977927,5.006818495569555,149.42857142857147
2019-04-29,2.19847,9.011216828973687,3.3455084758015667,28.375
2019-05-07,4.6900306,108.8565080223433,4.677490847567717,107.49999999999996
2019-05-13,2.405499,11.08395959307564,2.2881963555419462,9.85714285714286
2019-05-20,7.427545,1681.6741106287272,4.8846940707384086,132.24999999999997
2019-05-28,7.3355308,1533.8416625207462,6.831773757959509,926.8333333333329
2019-06-03,8.279096,3940.6290610760548,8.366370301681654,4300.0
2019-06-10,9.465741,12909.789229072017,9.505320746909074,13430.999999999989
2019-06-13,9.480962,13107.787518458297,9.644716823578767,15439.999999999995
2019-06-17,8.973362,7890.08328060632,11.001432952216534,59960.00000000002
2019-06-20,10.677538,43370.63673098128,11.57158344833801,106041.25000000003
2019-06-24,8.802252,6649.199934402944,10.791735399252286,48617.33333333332
2019-06-27,9.894451,19820.08588962974,11.184938625324186,72037.25000000006
2019-07-01,8.824,6795.394338856876,10.695499195010198,44156.66666666669
2019-07-04,7.505218,1817.5014896500413,11.410325025683697,90248.75000000001
2019-07-08,7.040533,1141.9962035186054,12.28273039993879,215934.49999999988
2019-07-12,9.59405,14677.197932398767,11.878114725688935,144078.66666666657
2019-07-15,12.339969,228654.79078197922,12.32628679770064,225547.6666666665
2019-07-18,10.665904,42868.991945792484,11.280990255032851,79299.75000000006
2019-07-22,9.227693,10175.036566514138,9.110262176563245,9047.666666666666
2019-07-25,8.221925,3721.658874223731,9.68425820571879,16062.750000000002
2019-07-29,8.419889,4536.401928569518,9.605283652624765,14843.0
2019-08-01,8.83756,6888.16293002212,9.924355788340426,20421.750000000007
2019-08-05,9.504939,13425.874800260206,10.579598775038553,39324.333333333314
2019-08-08,9.713312,16536.281902942676,10.363432954483084,31679.750000000022
2019-08-12,10.536494,37665.2898259877,10.615671135544407,40768.75000000002
2019-08-16,10.4954815,36151.78091946253,10.830322498285954,50529.99999999996
2019-08-19,10.576915,39218.9288200312,10.679220358657727,43443.66666666665
2019-08-22,9.277093,10690.309262278972,9.319329296988013,11151.5
2019-08-26,10.674159,43224.34036716734,9.832492678378504,18629.33333333334
2019-08-29,9.41319,12248.881283424122,9.898047783785763,19891.5
2019-09-02,9.463633,12882.596663116497,9.60640588643649,14859.666666666675
2019-09-05,8.947339,7687.408871435977,9.543234787249512,13950.000000000002
2019-09-09,8.970676,7868.922518935189,9.988081426385062,21765.499999999996
2019-09-11,10.051304,23185.998522936934,10.113724166540658,24679.399999999994
2019-09-16,10.110066,24589.293752616784,10.222716740486039,27521.333333333343
2019-09-19,8.941577,7643.240624227591,8.97552901579429,7907.199999999994
2019-09-24,7.816279,2480.6575235422915,6.365610971958719,581.5
2019-09-30,5.5072665,246.47646726825596,6.652309881003298,774.5714285714287
2019-10-07,5.661174,287.48590141993077,4.782718464029388,119.42857142857142
2019-10-14,5.0925937,162.8115944302224,5.839810747479311,343.71428571428584
2019-10-21,6.0721755,433.62300423997374,6.175273093023515,480.7142857142857
2019-10-28,4.483204,88.51782002325812,4.558378024481333,95.42857142857146
2019-11-04,5.986884,398.1720176758876,6.274762021241939,531.0
2019-11-11,5.70619,300.7231605829088,5.75890177387728,316.9999999999999
2019-11-18,6.570945,714.04414350933,5.926926025970411,374.99999999999994
2019-11-25,6.7584844,861.3357341496198,6.650279048587422,773.0000000000003
2019-12-02,8.19642,3627.937978586991,5.334787046329428,207.42857142857136
2019-12-09,6.472241,646.9318294179138,5.168045960510722,175.57142857142864
2019-12-16,4.798214,121.293588589901,3.5594213868770495,35.14285714285714
2019-12-23,4.7774115,118.7964424622803,0.0,1.0
2020-01-06,3.9867861,53.88144268585618,1.3121863889661687,3.714285714285714
2020-01-13,4.354126,77.79879763971142,3.2851984677992734,26.714285714285715
2020-01-20,3.5150397,33.61726191069562,3.3004558118606235,27.124999999999996
2020-01-28,1.5991149,4.948650409530089,1.9459101490553132,6.999999999999999
2020-02-03,1.83904,6.290496742533357,3.58351893845611,36.0
2020-02-10,1.7172277,5.569067901921711,2.8581108956779433,17.42857142857143
2020-02-17,4.3175654,75.00579979388527,4.706146103328094,110.62500000000004
2020-02-25,5.2306213,186.90890103084737,3.4965075614664802,33.0
2020-03-02,4.751551,115.76371236145602,4.634728988229636,103.00000000000001
2020-03-09,3.830585,46.08949283611602,6.220306119536829,502.8571428571427
2020-03-16,7.5861464,1970.7044658255854,6.469693186599291,645.2857142857144
