,prediction,prediction_inv,유해남조류세포수_Y,유해남조류세포수_Y_inv
2019-02-18,0.03607303,1.0367315552379759,0.0,1.0
2019-02-25,0.068804264,1.0712265111074069,0.0,1.0
2019-03-04,0.030037224,1.030492892608692,0.0,1.0
2019-03-11,0.06386703,1.065950652574267,0.0,1.0
2019-03-18,0.03040862,1.030875685184665,0.0,1.0
2019-03-25,0.10211223,1.1075077643792497,0.0,1.0
2019-04-01,1.52158,4.579454933313317,1.2729656758128876,3.5714285714285716
2019-04-15,4.1970396,66.48920503519578,4.260665777669614,70.85714285714288
2019-04-22,5.401077,221.64495363654834,5.499507407646374,244.57142857142853
2019-05-07,3.1487772,23.30754776379423,2.70805020110221,15.0
2019-05-13,0.026469767,1.0268232029426807,0.0,1.0
2019-05-20,2.6765304,14.534575979023861,2.515678308454754,12.375
2019-05-28,5.967276,390.44069812188013,6.342708101049507,568.3333333333334
2019-06-03,7.4877796,1786.0819004671973,7.829232537543592,2512.9999999999995
2019-06-10,4.556225,95.22331554496205,4.515558027298404,91.4285714285714
2019-06-17,5.4624777,235.68064371523647,5.700921242375169,299.14285714285717
2019-07-15,9.458733,12819.626616601969,10.146355296698067,25497.99999999998
2019-09-09,7.235521,1387.863564396698,7.607381425639791,2012.9999999999993
2019-09-16,6.726545,834.2597936466491,7.024315344893563,1123.6249999999998
2019-09-24,4.9337373,138.89764264036253,5.115995809754082,166.6666666666667
2019-10-14,5.462827,235.76303359731276,5.747115599362575,313.2857142857142
2020-03-09,3.489695,32.77595188255669,4.072683065440922,58.71428571428574
2020-03-23,2.2419193,9.41137702371089,4.198275485070332,66.57142857142854
2020-03-30,2.5110466,12.317815733468072,3.1780538303479458,24.000000000000004
2020-04-06,0.008155167,1.0081885110582605,1.9859154836690125,7.285714285714286
2020-04-13,2.7196681,15.175285489999274,3.7776749528970677,43.71428571428572
2020-04-20,2.1766706,8.816901913141315,0.0,1.0
2020-05-18,2.4999073,12.181364149798233,0.0,1.0
2020-05-25,0.7785383,2.178285907781559,6.675462861270588,792.7142857142856
2020-06-01,7.458949,1735.323428363342,8.870060897012015,7115.714285714283
2020-06-15,7.0567656,1160.6849179167732,6.896116380443498,988.4285714285718
2020-06-22,6.524893,681.9066741154293,8.690161619948434,5944.1428571428605
2020-06-29,5.3916645,219.56855451476707,5.274463687668637,195.28571428571436
2020-07-06,6.406961,606.0490747359047,6.616199044981755,747.0999999999997
2020-09-28,5.2206955,185.06284972101628,5.9337597655489756,377.57142857142844
2020-10-05,6.5072656,669.991863163744,6.603750232498426,737.8571428571429
2020-10-26,5.062268,157.94830252929455,6.379153544575884,589.4285714285713
2021-02-22,0.09084153,1.0950954536513728,0.0,1.0
2021-03-02,0.059838474,1.0616650459709156,0.0,1.0
2021-03-23,0.98101634,2.667165606296771,1.6739764335716716,5.333333333333334
2021-04-12,3.7804718,43.83671909850973,4.743689120123653,114.85714285714286
2021-04-19,4.8285728,125.03238079199505,4.819128827725229,123.8571428571429
2021-04-26,5.358734,212.45583487035285,6.109564992701961,450.14285714285717
2021-05-03,6.0442686,421.6892245812641,4.537197202401885,93.42857142857143
2021-05-10,4.088755,59.66556962126428,1.4759065198095778,4.375
2021-05-18,2.1816137,8.860592922919155,3.7992275112828016,44.666666666666664
2021-05-24,5.0649605,158.3741829605321,4.451019506160833,85.7142857142857
2021-05-31,1.5687153,4.800477220640112,4.302132725453116,73.85714285714285
2021-06-07,6.062004,429.2348003454213,5.485981767752487,241.28571428571436
2021-06-14,0.2764172,1.3183977793204151,5.345746060119148,209.7142857142858
2021-06-21,5.732344,308.69204151872424,6.7912214627261855,890.0
2021-11-08,2.9236636,18.60934020394014,3.929020581796717,50.85714285714285
2021-11-15,3.8521328,47.09339686481039,4.294365696115456,73.28571428571426
2021-11-22,3.67622,39.49681122571894,4.079955824770001,59.142857142857125
2021-11-29,3.0351267,20.803613261091055,0.0,1.0
2021-12-06,0.029031038,1.0294565465442276,0.8873031950009027,2.4285714285714284
2021-12-13,1.1624916,3.197891095788924,2.6790626642289577,14.57142857142857
2021-12-20,0.06657368,1.0688397126932094,0.0,1.0
